category,brand,name,site,product_title,price,currency,image_url,product_url
facewash,CeraVe,Foaming Facial Cleanser,nykaa,,,,,
facewash,CeraVe,Foaming Facial Cleanser,amazon,,,,,
facewash,CeraVe,Foaming Facial Cleanser,flipkart,,,,,
facewash,Cetaphil,Gentle Skin Cleanser,nykaa,,,,,
facewash,Cetaphil,Gentle Skin Cleanser,amazon,,,,,
facewash,Cetaphil,Gentle Skin Cleanser,flipkart,,,,,
facewash,Dot & Key,Hydrating Face Wash,nykaa,,,,,
facewash,Dot & Key,Hydrating Face Wash,amazon,,,,,
facewash,Dot & Key,Hydrating Face Wash,flipkart,,,,,
facewash,Himalaya,Purifying Neem Face Wash,nykaa,,,,,
facewash,Himalaya,Purifying Neem Face Wash,amazon,,,,,
facewash,Himalaya,Purifying Neem Face Wash,flipkart,,,,,
facewash,Neutrogena,Oil-Free Acne Wash,nykaa,,,,,
facewash,Neutrogena,Oil-Free Acne Wash,amazon,,,,,
facewash,Neutrogena,Oil-Free Acne Wash,flipkart,,,,,
facewash,Simple,Kind to Skin Refreshing Facial Wash,nykaa,,,,,
facewash,Simple,Kind to Skin Refreshing Facial Wash,amazon,,,,,
facewash,Simple,Kind to Skin Refreshing Facial Wash,flipkart,,,,,
facewash,Clean & Clear,Oil Control Foaming Face Wash,nykaa,,,,,
facewash,Clean & Clear,Oil Control Foaming Face Wash,amazon,,,,,
facewash,Clean & Clear,Oil Control Foaming Face Wash,flipkart,,,,,
facewash,St. Ives,Acne Control Apricot Scrub,nykaa,,,,,
facewash,St. Ives,Acne Control Apricot Scrub,amazon,"St. Ives Blemish & Blackhead Control Apricot Scrub, 6 Oz",723.0,INR,https://m.media-amazon.com/images/I/71bdVk1kOGL._AC_UL320_.jpg,https://www.amazon.in/St-Ives-Blemish-Blackhead-Control/dp/B0000536Y7/ref=sr_1_1?dib=eyJ2IjoiMSJ9.DgwDo7zHCNxW31YcAvDnx7-Uyuvjv3rLiFq30ptyibRiNrrkY50bSBdpnzdM5LVngGtYww_9B-tTKpDqgX68Fnv2cNKn7_OcBFW8EcUexWsk9-OAYQMNazLFCX3jaoo80kBxKyynxhYpqxs_JnfJGQT1LpG4wjfUzM5UQx7Tb3UQBnm23Zydi6yXFi_x2hed3xYid95gnJ4CTZ8FsuQ6RA7ap0QKOtusZWoAEnXtrdnbaw1INq20TaPSa3r5flR7bpAVPPb1AAjBKqa0lEocUIoPJrpW24TvXvzZG0hnp-c.SvlI4Wh3MeDk11zFwh5KLMeDvWAIfBpjbdvOPIwBtHE&dib_tag=se&keywords=St.+Ives+Acne+Control+Apricot+Scrub&nsdOptOutParam=true&qid=1760216711&sr=8-1
facewash,St. Ives,Acne Control Apricot Scrub,flipkart,,,,,
facewash,Biore,Charcoal Acne Clearing Cleanser,nykaa,,,,,
facewash,Biore,Charcoal Acne Clearing Cleanser,amazon,,,,,
facewash,Biore,Charcoal Acne Clearing Cleanser,flipkart,,,,,
facewash,The Body Shop,Tea Tree Skin Clearing Facial Wash,nykaa,,,,,
facewash,The Body Shop,Tea Tree Skin Clearing Facial Wash,amazon,,,,,
facewash,The Body Shop,Tea Tree Skin Clearing Facial Wash,flipkart,,,,,
